Address,ADA Value
addr1q8lraj8prxnghv8n0lluplqvpka9ksf4040j7nf4d0nyjyj0pqs3ylqenywp8uswswweydapyzkk362atpxj08slh04qyu9ktz,2974.16
addr1q938r7fpat04r4ez2wlzxjja8eet0w23dem4ewdr0zm38w37p4fq8atf89dg0phalvsu6sej44lqweyjappga8h4fffslcm404,2396.27
addr1q93074m60wx96vr78r6vmytuejdesmrxgvr9787q08t0lw6nwda4q6awu7cjd2jgjsqw555aj0keelrt6jx78u5klm9szv7ftp,1530.07
addr1qy8xk7vpnt57uf4mxsufa3e8duhzdsk29rutxsl9a9vrqx0cfhw263dnxtwyfg8yff3m3yeqezu4tum7zcltm8e0s6cqg22709,1438.81
addr1qyhf7wsgw9dsxpktx5hss8vy46x8h8eplpjj70wjldsr3eu3d2tzd3pwrff7f6y49x5v6dnvv622ezkanajmt4pjtywsnegstv,933.36
addr1qyj6rg2amwuh7tspjrugs64u0x6s7hx777rplttk4fy5sjpk0sy73n24y70wehtswdre7madk9vdxxvwu9pndm8c2d7sh2mzug,866.08
addr1qxjuvydfy80uvkgpnju8a6nezz7sc3nm02yk0sqdpyn6el3v5tupkt4pmc8vafnutmva6vr2wxc4mqaa8wfpqeqvqm9qvh60jq,741.38
addr1q8quch993qjm5fqs0444zkrcp39lucl4p2aq0tmjdrdwl443f4p9yzx087j4lztest9z3kf6ug8md0pr4l96fdax5y3sh7m7g3,700.20
addr1q9h7hpq3ule648g2smdyyxylpqxvd4z7jtr5ujxh254khw5c6k6tkwznqhwyvcst0sgpverx2cpzl20kdvxy0me75rns4cqxnq,694.66
addr1qxx3kms53hg3662nvsuwyv8jkwfmaen3zvfyu0tyt2hv9cfg4hr8a3vkzd52kvgd5z9465s8uhpmyttvkljjte679k2qtd567z,668.36
addr1qy443gpzqt7dqmh0jdxy25gxs5syygstv7urdsgff0ed0jvw2pnt2ydcferp4wjr999f0wsx9y7qygyyctznzpqe6yvq902njf,658.86
addr1q9pcw3fnq7f6lpz2g5kfud7shweyvwjegepkpf50uakwnvludljgye0kw6yg8jqq2rjqw2wz92dd4vvx62tu0lp426as4znvv6,645.30
addr1q83ssq7cnqglkwqrw65ldvhefg2m6xcwdp96cygj3pgd7jczpzgv5kztm5cl98x76e35vy9fea7zm2g03ql5llm7dzas2c5jxv,553.54
addr1q8a3eevu3wxayyk2mt2mrz9vuuxmuhjfzzcwqm89dj0g63g5lmejs3ceyjv2pz44kan22w3c49a39l4z0lkslhw5p9asuh72tk,529.12
addr1qx09reh367quu863est54evxx2h5dl3a304msz2zn3qsg2m0tay9n7pz0hduge6dd7mesjtcaal0knwad2nht2ujmq9q52kaal,495.85
addr1qxhlp7l3qhn56mwns420fnxex9jhxt68wpg6k0csk63xu2mzlj2swljl6y0slkpn8anrregnqfzlj9nnlvptzkllx9zshe3eg3,493.40
addr1q9axj8gdvfr50wpfuqy2cu59u9j444ga27myu7jhgrnpc2y8677h0zr7fhd25c2gmmwyjk9sq8ap9k0cc7fcze0e0rys329245,489.47
addr1q8s992xrtrrp49p8rlpj9a6a3xqkkmdmah8nfhcwlmldvclqy7as6q9vmnlecxlr099thgcahus0pktrqrs47ytxmg5shjh9u7,463.36
addr1q9yyrzv6tmdpa48x30wvv8qc0gc5s3rkdl2du74y3au229qsrqyzuq20qme97letkg0spexkxfma5wklt8n35edswjkqagrmdg,449.15
addr1qyev0kaan0kumf9ajmurpqlsf6vn08en3u2wfkqaef2zhhcdntlcrpn945t2pdmu6f4afh7m3k4whhc4uupusjezlfasvvmrhs,435.49
addr1qxg40dlsqfqa7qa25qmga0xttg89lrzvmvyqlhtrhmk0kyn2prypx22wfe3xrsehdc4kgu4xkkwm8qcmklu2ezyyj5kqlvegzd,413.12
addr1q9v0p028kx9hp9yfxytm54p5k4t408lufm098sdrpwjwpgmtlm4cmxma3xv7zkj02xlzyymr9g5zadm967j7ry7epcxq7vsgpk,410.51
addr1q99hjus8vk4cvf8x6pxceg64jgnqypp0qnttdm3dpy4d3pfq05z6crum6gx5nxvxvfpe8nq3fdf9h5segwnpjtvjsqsshxwxnx,391.50
addr1q9za0jqy3m08qyhajsv09mrtq3h6053x3xqvuraemthfr9wr7uqrhzen96zsvdp6rcj2qt64sf3xj6p50j9dsj7ledcqk6nyhj,387.89
addr1qx2he3wrdf2hck34t8ej7ugvy23na9dprck5f8l9tlm7f96q2j3t599sx3qergddpjn065h9clss2hvfx59dt760e2nq6gupal,360.23
addr1q84c2eggrx89y39eleqvk4techr8l9x2a470aavddsm9umq2x9nyalh2rxzjwtr4x89ja3sq2xk6wyu3qhk3yflxukqqe5fzrs,347.64
addr1qyp772czuk54yyeq409q47fjuc9qer9qet84v8d2dhw6vlz2axe7na0lwdl3lfkskpukjn7ya8vq9c54zcjxqxpussgqs0lvxm,328.68
addr1qxnk4usqr4x2ysgqy08h0j3wez5agcu79jvfnl6dkw4smpfmjuvjp3cl2erdylf8q9kyh4mg3cwwqgw5nzj08emc5vkssrjpp5,324.77
addr1q8527h0glznp3uvf58ehr24z39q5ehkgqvjjmjcz0lvlguwn8nl4nvcnt7250h5txwhwxu4e7ur5swp84jc7zcrtgsvqhnhs9r,309.74
addr1qym8fkjq9h9wcjv9x3vytuapvye9a8ujnymmvcvwu92059mx4uty83yrn2ttnqnhyjz4ahjwsr3wjqmec25lutg0c3gqsgsncw,307.47
addr1q9lalkdr4v65llwkmmy3g6vafqzh8nd3632wsrevklyaz39ylc7ucu0e2jcqc0jqhljqtj0lqu0exzutlw74xz9dzg6q7p92av,296.40
addr1q8upn8q3x2qr98hyexvvuva938t58lw2euc0jqg45zdsafhng0g9rx88yrytzvtvanwh5uaku3quvthh30cxdhtc6hqqh3u02g,283.33
addr1q94m0jww6qms9tkuy6s4de23u5xgg53v3rv0r3v5m4ehn9nqk2l72j0mshg6ya8zfn0xjqzde8x7td4mpd3y6qcvjxtshv7n0r,282.14
addr1q8hdcm460vf40nmxnsnl6hvsyfudyjy0hamz2e2apsutwpc6dqchz2egt2jf6wgfal5s9c4j0qunu8ug6xkl7hrang5sw4yv3p,262.01
addr1qx6s83tkvs0zvvfg8wrawlegr2pph9mvcmkc6a7kr5a0atzjc0v5gfejacza0pthtq2729nhcjyhtnlgzgc4g0f5xwpstppeuw,255.29
addr1qyzfu5plchzuchvpp8klp8wvt5y7w5flnklaha6yayj8jvm2ymz2m8j0wcdmyevj52uj57rj8xcek2ml7e6nuz92ym8qwf34cv,255.12
addr1q87p4g3j6edaf2jgf8ma9lmep85xhrvc8ks3fn2amt7alf4vl58ydueg86q74s62naw820yz79qvpu9chn8rj2at20hstlq2p9,248.14
addr1q9g5dug46y6q398apyspayqc2uwleg5m7c2937glzmj4paxggzpvyh9r33wc5rz2etkm508ywf53g2q6et9xcfe0h2eq8hzvmr,246.41
addr1q8hdlc357ffkgel3pqpw3n3cymv8vpune2tphxuflm6xzvmj006r3nn76z6y2ruqdtpnjndyuycjz9f8ljw2g6kpq0hsejt2yc,237.86
addr1q8vn7zezg2dpp0x2c90w5naz2tqf27y6r32tetvm5v82ua6lepk5ldrqedp3sgxxxf2svvq468p88v3emnn29gh8rqtsz9mpws,234.84
