Address,ADA Value
addr1q8lraj8prxnghv8n0lluplqvpka9ksf4040j7nf4d0nyjyj0pqs3ylqenywp8uswswweydapyzkk362atpxj08slh04qyu9ktz,1423.23
addr1q938r7fpat04r4ez2wlzxjja8eet0w23dem4ewdr0zm38w37p4fq8atf89dg0phalvsu6sej44lqweyjappga8h4fffslcm404,1032.96
addr1qy8xk7vpnt57uf4mxsufa3e8duhzdsk29rutxsl9a9vrqx0cfhw263dnxtwyfg8yff3m3yeqezu4tum7zcltm8e0s6cqg22709,938.22
addr1q88e699w9lwe9v8qxru7yzd9j684esddj53urd2zyerqxwvr2dyv83yyqy8r6kyda0g0jrq8vn2r68aqde0ay8n5clqqg2pnyd,787.84
addr1q8quch993qjm5fqs0444zkrcp39lucl4p2aq0tmjdrdwl443f4p9yzx087j4lztest9z3kf6ug8md0pr4l96fdax5y3sh7m7g3,773.59
addr1q84c2eggrx89y39eleqvk4techr8l9x2a470aavddsm9umq2x9nyalh2rxzjwtr4x89ja3sq2xk6wyu3qhk3yflxukqqe5fzrs,737.49
addr1q8c84v9cl3pke3hun84jy3wpscc5x2gkzj8tdd5fwfku93gfz9scp6srug9v9vyz2fvgm52y5yp25hw24a5x0ssgvt8q906dj0,704.84
addr1qyj6rg2amwuh7tspjrugs64u0x6s7hx777rplttk4fy5sjpk0sy73n24y70wehtswdre7madk9vdxxvwu9pndm8c2d7sh2mzug,697.49
addr1qyhf7wsgw9dsxpktx5hss8vy46x8h8eplpjj70wjldsr3eu3d2tzd3pwrff7f6y49x5v6dnvv622ezkanajmt4pjtywsnegstv,650.81
addr1q83ssq7cnqglkwqrw65ldvhefg2m6xcwdp96cygj3pgd7jczpzgv5kztm5cl98x76e35vy9fea7zm2g03ql5llm7dzas2c5jxv,637.07
addr1q926fhrckscnk06wp4k7d85wuv8mczpsp4u9v9w342q3d4q2pr8g8gteqktuag7wyw6tqlvuzeshgua9qtruxuj05ess2npr46,584.84
addr1q9pcw3fnq7f6lpz2g5kfud7shweyvwjegepkpf50uakwnvludljgye0kw6yg8jqq2rjqw2wz92dd4vvx62tu0lp426as4znvv6,572.47
addr1qxjuvydfy80uvkgpnju8a6nezz7sc3nm02yk0sqdpyn6el3v5tupkt4pmc8vafnutmva6vr2wxc4mqaa8wfpqeqvqm9qvh60jq,566.98
addr1qy443gpzqt7dqmh0jdxy25gxs5syygstv7urdsgff0ed0jvw2pnt2ydcferp4wjr999f0wsx9y7qygyyctznzpqe6yvq902njf,560.10
addr1qxx3kms53hg3662nvsuwyv8jkwfmaen3zvfyu0tyt2hv9cfg4hr8a3vkzd52kvgd5z9465s8uhpmyttvkljjte679k2qtd567z,530.25
