account_id,length,multiplier,end_timestamp,promise_pstg_value,status,hex_name,hex_policy
118,30,112,2025-01-10 23:59:00+00,1017,complete,53746167416c6c69616e636532373233,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
739,30,129,2025-01-10 23:59:00+00,1169,broken,53746167416c6c69616e636534373333,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
739,30,129,2025-01-10 23:59:00+00,1169,broken,53746167416c6c69616e636534373433,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
739,30,129,2025-01-10 23:59:00+00,1559,broken,53746167416c6c69616e6365313338,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
739,30,129,2025-01-10 23:59:00+00,1169,broken,53746167416c6c69616e636532363336,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
118,30,110,2025-01-10 23:59:00+00,660,broken,54616c654e696e654c616e6473303839,f5c5382fcf7fa068977f2b0ba6d87e4db34d19c768a1cbf0ab782b68
995,30,110,2025-01-10 23:59:00+00,990,complete,53746167416c6c69616e636534313433,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
995,30,110,2025-01-10 23:59:00+00,990,complete,53746167416c6c69616e636534323636,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
995,30,110,2025-01-10 23:59:00+00,3300,complete,5374616720416c6c69616e636520506f7274616c20506173732023323533,6d6b6f368b2e9a49ee00ff919d76ffed11b838a1988f4f888f420a22
995,30,110,2025-01-10 23:59:00+00,1320,complete,53746167416c6c69616e636535313230,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
995,30,110,2025-01-10 23:59:00+00,8250,complete,5374616720416c6c69616e636520506f7274616c20506173732023323735,6d6b6f368b2e9a49ee00ff919d76ffed11b838a1988f4f888f420a22
995,30,110,2025-01-10 23:59:00+00,990,cancelled,53746167416c6c69616e636533373936,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
297,30,110,2025-01-10 23:59:00+00,660,complete,54616c654e696e654c616e6473393830,f5c5382fcf7fa068977f2b0ba6d87e4db34d19c768a1cbf0ab782b68
995,30,110,2025-01-10 23:59:00+00,990,complete,53746167416c6c69616e636533373936,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
615,30,110,2025-01-10 23:59:00+00,990,complete,53746167416c6c69616e636536343532,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
615,30,110,2025-01-10 23:59:00+00,990,complete,53746167416c6c69616e636533333239,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
615,30,110,2025-01-10 23:59:00+00,990,complete,53746167416c6c69616e636533383136,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
615,30,110,2025-01-10 23:59:00+00,990,complete,53746167416c6c69616e636535373538,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
615,30,110,2025-01-10 23:59:00+00,1320,complete,53746167416c6c69616e636536393533,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
615,30,110,2025-01-10 23:59:00+00,990,complete,53746167416c6c69616e636537303430,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
615,30,110,2025-01-10 23:59:00+00,1320,complete,53746167416c6c69616e636537323139,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
615,30,110,2025-01-10 23:59:00+00,990,complete,53746167416c6c69616e636534313333,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
615,30,110,2025-01-10 23:59:00+00,1320,complete,53746167416c6c69616e6365323239,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
995,30,110,2025-02-09 23:59:00+00,990,complete,53746167416c6c69616e636534313433,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
2219,30,110,2025-03-01 23:59:00+00,1320,complete,53746167416c6c69616e6365383431,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
118,90,142,2025-03-11 23:59:00+00,3833,complete,53746167416c6c69616e636531363636,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
297,90,190,2025-03-11 23:59:00+00,23940,complete,53746167416c6c69616e636533363435,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
995,90,140,2025-03-11 23:59:00+00,3780,complete,53746167416c6c69616e636531323632,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
206,90,140,2025-03-11 23:59:00+00,5040,complete,53746167416c6c69616e636537343531,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
206,90,140,2025-03-11 23:59:00+00,5040,complete,53746167416c6c69616e636531363233,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
206,90,140,2025-03-11 23:59:00+00,5040,complete,53746167416c6c69616e636534363731,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
206,90,140,2025-03-11 23:59:00+00,5040,complete,53746167416c6c69616e636536353131,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
206,90,140,2025-03-11 23:59:00+00,5040,complete,53746167416c6c69616e636531303137,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
206,90,140,2025-03-11 23:59:00+00,3780,complete,53746167416c6c69616e636531303537,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
206,90,140,2025-03-11 23:59:00+00,5040,complete,53746167416c6c69616e636535333436,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
206,90,140,2025-03-11 23:59:00+00,5040,complete,53746167416c6c69616e636532323739,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
206,90,140,2025-03-11 23:59:00+00,3780,complete,53746167416c6c69616e636535383237,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
206,90,140,2025-03-11 23:59:00+00,5040,complete,53746167416c6c69616e636535373732,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
206,90,140,2025-03-11 23:59:00+00,5040,complete,53746167416c6c69616e6365363332,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
206,90,140,2025-03-11 23:59:00+00,3780,complete,53746167416c6c69616e636534313935,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
206,90,140,2025-03-11 23:59:00+00,5040,complete,53746167416c6c69616e6365333836,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
206,90,140,2025-03-11 23:59:00+00,5040,complete,53746167416c6c69616e636536333039,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
206,90,140,2025-03-11 23:59:00+00,3780,complete,53746167416c6c69616e636536313633,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
206,90,140,2025-03-11 23:59:00+00,3780,complete,53746167416c6c69616e636533373939,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
206,90,140,2025-03-11 23:59:00+00,5040,complete,53746167416c6c69616e6365313539,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
206,90,140,2025-03-11 23:59:00+00,5040,complete,53746167416c6c69616e636533323434,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
206,90,140,2025-03-11 23:59:00+00,5040,complete,53746167416c6c69616e636533303530,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
206,90,140,2025-03-11 23:59:00+00,17640,complete,53746167416c6c69616e636535333034,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
206,90,140,2025-03-11 23:59:00+00,5040,complete,53746167416c6c69616e636533373837,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
206,90,140,2025-03-11 23:59:00+00,3780,complete,53746167416c6c69616e636537333536,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
206,90,140,2025-03-11 23:59:00+00,5040,complete,53746167416c6c69616e636534323130,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
206,90,140,2025-03-11 23:59:00+00,5040,complete,53746167416c6c69616e636531353231,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
206,90,140,2025-03-11 23:59:00+00,5040,complete,53746167416c6c69616e636532393433,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
206,90,140,2025-03-11 23:59:00+00,5040,complete,53746167416c6c69616e636532383333,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
206,90,140,2025-03-11 23:59:00+00,5040,complete,53746167416c6c69616e636534393134,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
206,90,140,2025-03-11 23:59:00+00,5040,complete,53746167416c6c69616e6365323037,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
206,90,140,2025-03-11 23:59:00+00,5040,complete,53746167416c6c69616e636531373537,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
206,90,140,2025-03-11 23:59:00+00,3780,complete,53746167416c6c69616e636535333639,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
206,90,140,2025-03-11 23:59:00+00,5040,complete,53746167416c6c69616e636535373931,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
206,90,140,2025-03-11 23:59:00+00,3780,complete,53746167416c6c69616e636533363733,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
206,90,140,2025-03-11 23:59:00+00,5040,complete,53746167416c6c69616e636536313835,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
206,90,140,2025-03-11 23:59:00+00,3780,complete,53746167416c6c69616e636535393933,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
206,90,140,2025-03-11 23:59:00+00,3780,complete,53746167416c6c69616e636535303930,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
206,90,140,2025-03-11 23:59:00+00,3780,complete,53746167416c6c69616e636536383739,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
206,90,140,2025-03-11 23:59:00+00,5040,complete,53746167416c6c69616e636534303430,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
206,90,140,2025-03-11 23:59:00+00,5040,complete,53746167416c6c69616e636531343732,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
206,90,140,2025-03-11 23:59:00+00,3780,complete,53746167416c6c69616e636532303530,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
206,90,140,2025-03-11 23:59:00+00,3780,complete,53746167416c6c69616e636534353730,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
206,90,140,2025-03-11 23:59:00+00,3780,complete,53746167416c6c69616e6365323538,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
206,90,140,2025-03-11 23:59:00+00,5040,complete,53746167416c6c69616e6365343131,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
206,90,140,2025-03-11 23:59:00+00,5040,complete,53746167416c6c69616e636535353131,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
206,90,140,2025-03-11 23:59:00+00,5040,complete,53746167416c6c69616e636534313437,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
206,90,140,2025-03-11 23:59:00+00,17640,complete,53746167416c6c69616e636537343830,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
206,90,140,2025-03-11 23:59:00+00,5040,complete,53746167416c6c69616e636531363733,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
206,90,140,2025-03-11 23:59:00+00,3780,complete,53746167416c6c69616e636536343237,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
206,90,140,2025-03-11 23:59:00+00,3780,complete,53746167416c6c69616e636532323730,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
206,90,140,2025-03-11 23:59:00+00,3780,complete,53746167416c6c69616e636534393638,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
206,90,140,2025-03-11 23:59:00+00,5040,complete,53746167416c6c69616e636534363638,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
206,90,140,2025-03-11 23:59:00+00,5040,complete,53746167416c6c69616e636534373634,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
206,90,140,2025-03-11 23:59:00+00,5040,complete,53746167416c6c69616e636537343330,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
206,90,140,2025-03-11 23:59:00+00,12600,complete,5374616720416c6c69616e636520506f7274616c20506173732023313135,6d6b6f368b2e9a49ee00ff919d76ffed11b838a1988f4f888f420a22
1795,90,140,2025-03-11 23:59:00+00,3780,complete,53746167416c6c69616e636534333938,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
251,90,140,2025-03-11 23:59:00+00,5040,broken,53746167416c6c69616e636536393335,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
251,90,140,2025-03-11 23:59:00+00,5040,broken,53746167416c6c69616e6365383436,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
251,90,140,2025-03-11 23:59:00+00,3780,broken,53746167416c6c69616e636531333832,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
251,90,140,2025-03-11 23:59:00+00,5040,broken,53746167416c6c69616e636536313036,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
251,90,140,2025-03-11 23:59:00+00,3780,broken,53746167416c6c69616e636536373035,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
251,90,140,2025-03-11 23:59:00+00,5040,broken,53746167416c6c69616e6365373431,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
251,90,140,2025-03-11 23:59:00+00,5040,broken,53746167416c6c69616e6365343832,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
575,90,140,2025-03-11 23:59:00+00,3780,complete,53746167416c6c69616e636532383338,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
575,90,140,2025-03-11 23:59:00+00,5040,complete,53746167416c6c69616e6365333439,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
575,90,140,2025-03-11 23:59:00+00,5040,complete,53746167416c6c69616e636536323835,1fcf4baf8e7465504e115dcea4db6da1f7bed335f2a672e44ec3f94e
