account_id,type,balance,season
117,pstg,105555,2
118,pstg,1704455,2
120,pstg,3185854,2
122,pstg,912770,2
123,pstg,2423577,2
131,pstg,1042217,2
139,pstg,1440134,2
140,pstg,844079,2
152,pstg,304985,2
163,pstg,2458527,2
164,pstg,710740,2
165,pstg,1131008,2
169,pstg,180078,2
172,pstg,2373705,2
173,pstg,2555274,2
183,pstg,1814940,2
185,pstg,8814579,2
189,pstg,2575667,2
196,pstg,963782,2
199,pstg,939071,2
206,pstg,785782,2
207,pstg,127125,2
234,pstg,275281,2
235,pstg,1800504,2
238,pstg,12670,2
242,pstg,127519,2
243,pstg,409252,2
245,pstg,938433,2
246,pstg,1652180,2
248,pstg,267080,2
250,pstg,73930,2
251,pstg,2275,2
252,pstg,53017,2
254,pstg,411790,2
255,pstg,103850,2
261,pstg,840052,2
265,pstg,42230,2
266,pstg,11016,2
267,pstg,11215,2
268,pstg,568516,2
269,pstg,35395,2
270,pstg,404790,2
272,pstg,19910,2
273,pstg,1823949,2
275,pstg,504085,2
276,pstg,2727123,2
277,pstg,166590,2
278,pstg,1037850,2
279,pstg,7265,2
283,pstg,1426826,2
284,pstg,874960,2
290,pstg,30345,2
292,pstg,19910,2
293,pstg,290207,2
297,pstg,863851,2
304,pstg,3433313,2
305,pstg,1519644,2
309,pstg,7240,2
311,pstg,72825,2
312,pstg,309170,2
313,pstg,0,2
315,pstg,75367,2
320,pstg,1320,2
323,pstg,166939,2
325,pstg,64835,2
331,pstg,52880,2
334,pstg,70290,2
339,pstg,267170,2
341,pstg,116745,2
347,pstg,76566,2
348,pstg,182505,2
349,pstg,755686,2
350,pstg,84765,2
352,pstg,622335,2
353,pstg,84853,2
356,pstg,1139371,2
363,pstg,654309,2
369,pstg,265950,2
370,pstg,12860,2
372,pstg,552826,2
376,pstg,51673,2
377,pstg,36000,2
378,pstg,10940340,2
383,pstg,1510037,2
390,pstg,38643,2
393,pstg,38202,2
403,pstg,772294,2
409,pstg,7240,2
410,pstg,81423,2
413,pstg,2036165,2
418,pstg,301902,2
421,pstg,416375,2
427,pstg,162000,2
431,pstg,251950,2
437,pstg,13500,2
439,pstg,24435,2
442,pstg,232901,2
448,pstg,655130,2
449,pstg,199100,2
452,pstg,12670,2
455,pstg,423678,2
456,pstg,364824,2
459,pstg,796320,2
462,pstg,67535,2
466,pstg,343595,2
471,pstg,239225,2
473,pstg,38010,2
477,pstg,247045,2
480,pstg,110097,2
482,pstg,411685,2
483,pstg,211590,2
489,pstg,13575,2
493,pstg,1325108,2
494,pstg,173790,2
498,pstg,7240,2
499,pstg,5430,2
507,pstg,83260,2
511,pstg,604094,2
512,pstg,4510,2
513,pstg,61624,2
514,pstg,265975,2
517,pstg,60355,2
520,pstg,17195,2
521,pstg,17195,2
523,pstg,8130,2
527,pstg,99498,2
529,pstg,119998,2
530,pstg,94100,2
533,pstg,45250,2
536,pstg,81450,2
538,pstg,200565,2
540,pstg,1209042,2
544,pstg,98835,2
547,pstg,45250,2
548,pstg,10425,2
552,pstg,12670,2
555,pstg,5292610,2
556,pstg,7240,2
564,pstg,381215,2
565,pstg,906391,2
569,pstg,5430,2
570,pstg,225,2
575,pstg,36630,2
579,pstg,56121,2
581,pstg,28560,2
582,pstg,72765,2
586,pstg,364496,2
588,pstg,27932,2
589,pstg,93215,2
590,pstg,13500,2
597,pstg,172490,2
599,pstg,50680,2
600,pstg,12670,2
601,pstg,170300,2
602,pstg,31500,2
604,pstg,538911,2
609,pstg,21720,2
610,pstg,42705,2
615,pstg,71190,2
618,pstg,329680,2
624,pstg,13500,2
625,pstg,37408,2
629,pstg,237095,2
