id,account_id,address0,stake,stake_id,is_verified,verification_txhash,last_updated
52,117,addr1qyl34kpj4js576uusdy4d2ledlcfdyst7huswdlcvpm7cwkn6hng5se96enfwfzyk8uug6rsgykk6nquxckn3mhryzss7ahr6t,stake1u8fate52gvjave5hy3ztr7wydpcyzttdfswrvtfcam3jpggxkt5kt,,true,193134351fc5e45cc5be3844296fb576723cb54d88c75b884cc193c3a48f5c9b,2024-03-06 09:08:59.852418
55,120,addr1qyj6rg2amwuh7tspjrugs64u0x6s7hx777rplttk4fy5sjpk0sy73n24y70wehtswdre7madk9vdxxvwu9pndm8c2d7sh2mzug,stake1uym8cz0ge42j08hvm4c8x3uld7kmzkxnrx8wzsekanu9xlgdy6gwj,4027160,true,2e9dc8afc0e39d5d22bc25659dc047eec971713e1d817711d7ef9c5a3207cfc0,2024-03-07 12:25:40.735382
57,122,addr1q87p4g3j6edaf2jgf8ma9lmep85xhrvc8ks3fn2amt7alf4vl58ydueg86q74s62naw820yz79qvpu9chn8rj2at20hstlq2p9,stake1uxk06rjx7v5raq02cd9f7hr48jp0zsxq7zuten3e9w448mclm768t,3848377,true,a91e35174318a5e5e68da7a73d0fa2de6da83330c4e113d78eb1c03df657fb13,2024-03-07 12:26:40.769209
58,123,addr1qy443gpzqt7dqmh0jdxy25gxs5syygstv7urdsgff0ed0jvw2pnt2ydcferp4wjr999f0wsx9y7qygyyctznzpqe6yvq902njf,stake1ux89qe44zxuyu3s6hfpjjj5hhgrzj0qzyzzv93f3qsvazxq6lwg43,4799149,true,5d2b1228edc313fa92787337c5bf976b6b9e993815859153d3b694bbf2187c5d,2024-03-08 05:15:40.99661
59,117,addr1q9ddetscs6h0qy4ccrmrars2crlzv02jtwldx5k93hjamyrynkwrtmxapnusr836tvvzh09ef7r4qa5t5fmqkewf0hwq4he2e6,stake1u9jfm8p4anwse7gpnca9kxpthju5lp6sw696yastvhyhmhqkdmfps,4095163,true,5db36e64021cc76b80bfc62d29eb418bbc900e16a5b88d1cf84579d3764221c5,2024-03-09 14:19:00.897285
60,140,addr1q8l9ugvcuqn6f6q9tee2tesngq5q0wn7s4hy58tmmkl42665sl6tftmu93r0w7ugw9lap0jhg0a486r0yp6f36860lzqu94dxk,stake1u92g0a954a7zc3hh0wy8zl7shet5876naphjqaycara8l3qqv2spk,5097271,true,4ab3c64f594c20c1590221c8ae1002bccb7c82e8c5fa70f043e822ba1f9ac211,2024-03-09 16:26:20.85281
64,118,addr1q8xwh6dhuztu9hfavvc8afutfru05vwyrnecxjpmavw4a4ez0rjtnzzx6dnmp2m4j9d50xaf759z9f53yc3gyamxtjrqeal59s,stake1uy383e9e3prdxeas4d6ezk68nw5l2z3z56gjvg5zwan9eps3szqh2,3738093,true,c3924c3d3e1ef5dfbc010493e1ab86e51603163873f6fd661d4c2a367754276c,2024-03-13 12:50:20.492047
65,163,addr1qxx3kms53hg3662nvsuwyv8jkwfmaen3zvfyu0tyt2hv9cfg4hr8a3vkzd52kvgd5z9465s8uhpmyttvkljjte679k2qtd567z,stake1uy52m3n7cktpx69txyx6pz6a2gr7tsaj94kt0ef9ua0zm9q0wjjuu,3859438,true,9946d0c121514a7c9d2b57ea385793b0338d8a7c55acaa216cd12f7e1bf74a64,2024-03-13 14:16:20.021825
66,164,addr1qxtzsjuymlxp8etc8jm4l7q7n8r0lnjpftqrvszzja59mhfchmjk5crcfs47r0xye5658rp32r60cp6krzrh0a0tfluq400lga,stake1uyutaet2vpuyc2lphnzv6d2r3sc4pa8uqatp3pmh7h45l7qgt4d7z,4653141,true,c0c7af8af6888fe5044682d00db0242f5d596df4edb3eafe6a25949b750e73f6,2024-03-13 15:47:00.500217
67,165,addr1qym8fkjq9h9wcjv9x3vytuapvye9a8ujnymmvcvwu92059mx4uty83yrn2ttnqnhyjz4ahjwsr3wjqmec25lutg0c3gqsgsncw,stake1u9n279jrcjpe494esfmjfp27me8gpchfqduu9207958ug5qhyfsz5,4040468,true,48db7974d2c98c04bdec18499fd5abd9d2ff6d9868fdd1543e52170738dab1f2,2024-03-13 17:59:00.810132
68,172,addr1q9pcw3fnq7f6lpz2g5kfud7shweyvwjegepkpf50uakwnvludljgye0kw6yg8jqq2rjqw2wz92dd4vvx62tu0lp426as4znvv6,stake1u87xleyzvhm8dzyreqq9peq898pz4xk6kxrd9978ls64dwcfgklpu,2864548,true,014559c846c279ab4b4cd9a6ce4d22456190eb02fb6be37d565496ccba519f86,2024-03-13 23:32:00.527802
70,185,addr1q938r7fpat04r4ez2wlzxjja8eet0w23dem4ewdr0zm38w37p4fq8atf89dg0phalvsu6sej44lqweyjappga8h4fffslcm404,stake1uylq65sr745njk58sm7lkgwdgve26ls8vjfwss5wnm6555cf9mmrh,5996825,true,733457f7181919a949e22e55d42e47cfd11a9b132370d222baa063e119ead989,2024-03-14 10:05:21.007044
71,189,addr1q8quch993qjm5fqs0444zkrcp39lucl4p2aq0tmjdrdwl443f4p9yzx087j4lztest9z3kf6ug8md0pr4l96fdax5y3sh7m7g3,stake1uxc56sjjpr8nlf2l39uc9j3gmyawyrakhs36ljayk7n2zgcdhgjk5,5029058,true,56d43714a390b069cd64f69414aeb749045ef53d2f0bad91b90985dbf6b8911d,2024-03-14 13:04:00.233954
